City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Vardø,70.3705,31.1107,31.98,80,100,20.71,NO,1666736798
Coacoyul,17.8058,-99.11,79.3,59,84,1.63,MX,1666736798
Arraial do Cabo,-22.9661,-42.0278,73.36,78,75,4.61,BR,1666736798
Bambous Virieux,-20.3428,57.7575,73.22,78,40,9.22,MU,1666736799
Tasiilaq,65.6145,-37.6368,32.16,96,100,4.18,GL,1666736799
Hilo,19.7297,-155.09,82.13,76,75,13.0,US,1666736799
Rikitea,-23.1203,-134.9692,73.2,74,55,17.78,PF,1666736638
Nikel,69.4128,30.222,28.58,90,100,11.61,RU,1666736800
Sioux Lookout,50.1001,-91.917,35.67,69,75,14.97,CA,1666736800
San Patricio,28.017,-97.5169,78.75,20,0,8.97,US,1666736262
Port Alfred,-33.5906,26.891,60.19,91,99,5.99,ZA,1666736801
Ushuaia,-54.8,-68.3,49.66,37,75,11.5,AR,1666736801
Esperance,-33.8667,121.9,56.98,76,22,8.39,AU,1666736801
Avarua,-21.2078,-159.775,78.85,53,100,6.91,CK,1666736802
Khasan,42.4308,130.6434,42.8,78,0,4.14,RU,1666736802
Pisco,-13.7,-76.2167,64.45,72,0,19.57,PE,1666736802
Rawson,-43.3002,-65.1023,60.21,47,100,16.13,AR,1666736241
Hermanus,-34.4187,19.2345,59.81,77,100,12.44,ZA,1666736803
New Norfolk,-42.7826,147.0587,54.91,84,100,5.01,AU,1666736803
Port Elizabeth,-33.918,25.5701,64.09,83,97,10.54,ZA,1666736554
Punta Arenas,-53.15,-70.9167,48.31,71,75,19.57,CL,1666736803
Dikson,73.5069,80.5464,22.84,85,99,1.88,RU,1666736643
Pangnirtung,66.1451,-65.7125,24.8,68,100,12.66,CA,1666736804
Lebu,-37.6167,-73.65,56.17,87,83,11.97,CL,1666736804
Airai,-8.9266,125.4092,62.96,88,100,1.1,TL,1666736644
Hambantota,6.1241,81.1185,76.19,87,100,5.57,LK,1666736645
Kahului,20.8947,-156.47,89.62,61,20,24.16,US,1666736645
Torbay,47.6666,-52.7314,55.49,86,20,6.91,CA,1666736805
Voyvozh,62.892,54.9635,28.02,89,99,4.16,RU,1666736805
Hobart,-42.8794,147.3294,55.27,97,75,18.41,AU,1666736805
Longyearbyen,78.2186,15.6401,13.84,79,20,9.22,SJ,1666736647
Kieta,-6.2167,155.6333,83.28,74,86,1.12,PG,1666736647
Wawa,9.9022,4.4192,80.31,63,100,2.57,NG,1666736253
Nandu,22.8525,110.8233,67.08,92,65,2.64,CN,1666736593
Busselton,-33.65,115.3333,54.1,90,75,4.85,AU,1666736806
Tūkrah,32.5341,20.5791,70.5,81,0,6.55,LY,1666736806
Dingle,10.9995,122.6711,75.97,93,100,5.75,PH,1666736807
Redmond,47.674,-122.1215,52.05,91,100,10.0,US,1666736681
Severo-Kuril'sk,50.6789,156.125,39.07,65,3,5.97,RU,1666736639
Barrow,71.2906,-156.7887,17.62,93,100,21.85,US,1666736807
Necochea,-38.5473,-58.7368,60.84,83,100,12.21,AR,1666736807
Chokurdakh,70.6333,147.9167,7.07,96,100,2.64,RU,1666736657
Lima,-12.0432,-77.0282,63.9,77,100,10.36,PE,1666736738
Garoowe,8.4054,48.4845,75.74,77,7,12.03,SO,1666736808
Amapá,1.0,-52.0,84.09,56,100,6.46,BR,1666736651
Margate,51.3813,1.3862,61.9,85,100,4.0,GB,1666736263
Sur,22.5667,59.5289,79.92,48,0,7.49,OM,1666736809
Luís Correia,-2.8792,-41.6669,84.2,74,0,17.27,BR,1666736652
Kourou,5.1552,-52.6478,80.65,80,93,8.16,GF,1666736809
Honiara,-9.4333,159.95,84.81,70,9,1.66,SB,1666736653
Impfondo,1.6381,18.0667,70.59,98,100,1.32,CG,1666736809
Naryan-Mar,67.6713,53.087,23.23,87,68,8.57,RU,1666736654
Nikolskoye,59.7035,30.7861,35.49,89,100,7.67,RU,1666736810
Katsuura,35.1333,140.3,56.1,74,88,25.95,JP,1666736810
Cape Town,-33.9258,18.4232,63.12,77,0,19.57,ZA,1666736811
Mitsamiouli,-11.3847,43.2844,75.52,79,3,13.04,KM,1666736811
Berlevåg,70.8578,29.0864,30.0,64,100,7.85,NO,1666736812
Puerto Ayora,-0.7393,-90.3518,75.16,90,81,7.0,EC,1666736724
